algorithm,arrType,n,dominantOps
binarySearch,sorted,36,5
bubbleSort,sorted,36,35
bubbleSort,sortedInReverse,36,630
bubbleSort,randomOrder,36,620
insertSort,sorted,36,35
insertSort,sortedInReverse,36,665
insertSort,randomOrder,36,325
quickSort,sorted,36,71
quickSort,sortedInReverse,36,71
quickSort,randomOrder,36,45
linearSearch,sorted,37,6
linearSearch,sortedInReverse,37,37
linearSearch,randomOrder,37,37
binarySearch,sorted,37,4
bubbleSort,sorted,37,36
bubbleSort,sortedInReverse,37,666
bubbleSort,randomOrder,37,630
insertSort,sorted,37,36
insertSort,sortedInReverse,37,702
insertSort,randomOrder,37,382
quickSort,sorted,37,73
quickSort,sortedInReverse,37,73
quickSort,randomOrder,37,49
linearSearch,sorted,38,36
linearSearch,sortedInReverse,38,38
linearSearch,randomOrder,38,38
binarySearch,sorted,38,4
bubbleSort,sorted,38,37
bubbleSort,sortedInReverse,38,703
bubbleSort,randomOrder,38,702
insertSort,sorted,38,37
insertSort,sortedInReverse,38,740
insertSort,randomOrder,38,417
quickSort,sorted,38,75
quickSort,sortedInReverse,38,75
quickSort,randomOrder,38,45
linearSearch,sorted,39,36
linearSearch,sortedInReverse,39,39
linearSearch,randomOrder,39,39
binarySearch,sorted,39,5
bubbleSort,sorted,39,38
bubbleSort,sortedInReverse,39,741
bubbleSort,randomOrder,39,696
insertSort,sorted,39,38
insertSort,sortedInReverse,39,779
insertSort,randomOrder,39,447
quickSort,sorted,39,77
quickSort,sortedInReverse,39,77
quickSort,randomOrder,39,55
linearSearch,sorted,40,35
linearSearch,sortedInReverse,40,40
linearSearch,randomOrder,40,40
binarySearch,sorted,40,3
bubbleSort,sorted,40,39
bubbleSort,sortedInReverse,40,780
bubbleSort,randomOrder,40,777
insertSort,sorted,40,39
insertSort,sortedInReverse,40,819
insertSort,randomOrder,40,498
quickSort,sorted,40,79
quickSort,sortedInReverse,40,79
quickSort,randomOrder,40,53
linearSearch,sorted,41,31
linearSearch,sortedInReverse,41,41
linearSearch,randomOrder,41,41
binarySearch,sorted,41,2
bubbleSort,sorted,41,40
bubbleSort,sortedInReverse,41,820
bubbleSort,randomOrder,41,810
insertSort,sorted,41,40
insertSort,sortedInReverse,41,860
insertSort,randomOrder,41,478
quickSort,sorted,41,81
quickSort,sortedInReverse,41,81
quickSort,randomOrder,41,51
linearSearch,sorted,42,39
linearSearch,sortedInReverse,42,42
linearSearch,randomOrder,42,42
binarySearch,sorted,42,6
bubbleSort,sorted,42,41
bubbleSort,sortedInReverse,42,861
bubbleSort,randomOrder,42,846
insertSort,sorted,42,41
insertSort,sortedInReverse,42,902
insertSort,randomOrder,42,468
quickSort,sorted,42,83
quickSort,sortedInReverse,42,83
quickSort,randomOrder,42,61
linearSearch,sorted,43,34
linearSearch,sortedInReverse,43,43
linearSearch,randomOrder,43,43
binarySearch,sorted,43,5
bubbleSort,sorted,43,42
bubbleSort,sortedInReverse,43,903
bubbleSort,randomOrder,43,875
insertSort,sorted,43,42
insertSort,sortedInReverse,43,945
insertSort,randomOrder,43,492
quickSort,sorted,43,85
quickSort,sortedInReverse,43,85
quickSort,randomOrder,43,59
linearSearch,sorted,44,37
linearSearch,sortedInReverse,44,44
linearSearch,randomOrder,44,44
binarySearch,sorted,44,5
bubbleSort,sorted,44,43
bubbleSort,sortedInReverse,44,946
bubbleSort,randomOrder,44,931
insertSort,sorted,44,43
insertSort,sortedInReverse,44,989
insertSort,randomOrder,44,507
quickSort,sorted,44,87
quickSort,sortedInReverse,44,87
quickSort,randomOrder,44,59
linearSearch,sorted,45,23
linearSearch,sortedInReverse,45,45
linearSearch,randomOrder,45,1
binarySearch,sorted,45,1
bubbleSort,sorted,45,44
bubbleSort,sortedInReverse,45,990
bubbleSort,randomOrder,45,912
insertSort,sorted,45,44
insertSort,sortedInReverse,45,1034
insertSort,randomOrder,45,661
quickSort,sorted,45,89
quickSort,sortedInReverse,45,89
quickSort,randomOrder,45,61
linearSearch,sorted,46,39
linearSearch,sortedInReverse,46,46
linearSearch,randomOrder,46,46
binarySearch,sorted,46,5
bubbleSort,sorted,46,45
bubbleSort,sortedInReverse,46,1035
bubbleSort,randomOrder,46,990
insertSort,sorted,46,45
insertSort,sortedInReverse,46,1080
insertSort,randomOrder,46,504
quickSort,sorted,46,91
quickSort,sortedInReverse,46,91
quickSort,randomOrder,46,65
linearSearch,sorted,47,2
linearSearch,sortedInReverse,47,47
linearSearch,randomOrder,47,47
binarySearch,sorted,47,6
bubbleSort,sorted,47,46
bubbleSort,sortedInReverse,47,1081
bubbleSort,randomOrder,47,1075
insertSort,sorted,47,46
insertSort,sortedInReverse,47,1127
insertSort,randomOrder,47,549
quickSort,sorted,47,93
quickSort,sortedInReverse,47,93
quickSort,randomOrder,47,65
linearSearch,sorted,48,3
linearSearch,sortedInReverse,48,48
linearSearch,randomOrder,48,48
binarySearch,sorted,48,4
bubbleSort,sorted,48,47
bubbleSort,sortedInReverse,48,1128
bubbleSort,randomOrder,48,1125
insertSort,sorted,48,47
insertSort,sortedInReverse,48,1175
insertSort,randomOrder,48,515
quickSort,sorted,48,95
quickSort,sortedInReverse,48,95
quickSort,randomOrder,48,67
linearSearch,sorted,49,37
linearSearch,sortedInReverse,49,49
linearSearch,randomOrder,49,49
binarySearch,sorted,49,2
bubbleSort,sorted,49,48
bubbleSort,sortedInReverse,49,1176
bubbleSort,randomOrder,49,1005
insertSort,sorted,49,48
insertSort,sortedInReverse,49,1224
insertSort,randomOrder,49,604
quickSort,sorted,49,97
quickSort,sortedInReverse,49,97
quickSort,randomOrder,49,67
linearSearch,sorted,50,27
linearSearch,sortedInReverse,50,50
linearSearch,randomOrder,50,39
binarySearch,sorted,50,6
bubbleSort,sorted,50,49
bubbleSort,sortedInReverse,50,1225
bubbleSort,randomOrder,50,1134
insertSort,sorted,50,49
insertSort,sortedInReverse,50,1274
insertSort,randomOrder,50,670
quickSort,sorted,50,99
quickSort,sortedInReverse,50,99
quickSort,randomOrder,50,67
linearSearch,sorted,51,13
linearSearch,sortedInReverse,51,51
linearSearch,randomOrder,51,37
binarySearch,sorted,51,2
bubbleSort,sorted,51,50
bubbleSort,sortedInReverse,51,1275
bubbleSort,randomOrder,51,1155
insertSort,sorted,51,50
insertSort,sortedInReverse,51,1325
insertSort,randomOrder,51,687
quickSort,sorted,51,101
quickSort,sortedInReverse,51,101
quickSort,randomOrder,51,71
linearSearch,sorted,52,52
linearSearch,sortedInReverse,52,50
linearSearch,randomOrder,52,25
binarySearch,sorted,52,6
bubbleSort,sorted,52,51
bubbleSort,sortedInReverse,52,1326
bubbleSort,randomOrder,52,1290
insertSort,sorted,52,51
insertSort,sortedInReverse,52,1377
insertSort,randomOrder,52,727
quickSort,sorted,52,103
quickSort,sortedInReverse,52,103
quickSort,randomOrder,52,71
linearSearch,sorted,53,48
linearSearch,sortedInReverse,53,53
linearSearch,randomOrder,53,53
binarySearch,sorted,53,5
bubbleSort,sorted,53,52
bubbleSort,sortedInReverse,53,1378
bubbleSort,randomOrder,53,1377
insertSort,sorted,53,52
insertSort,sortedInReverse,53,1430
insertSort,randomOrder,53,808
quickSort,sorted,53,105
quickSort,sortedInReverse,53,105
quickSort,randomOrder,53,73
linearSearch,sorted,54,23
linearSearch,sortedInReverse,54,54
linearSearch,randomOrder,54,54
binarySearch,sorted,54,4
bubbleSort,sorted,54,53
bubbleSort,sortedInReverse,54,1431
bubbleSort,randomOrder,54,1340
insertSort,sorted,54,53
insertSort,sortedInReverse,54,1484
insertSort,randomOrder,54,779
quickSort,sorted,54,107
quickSort,sortedInReverse,54,107
quickSort,randomOrder,54,73
linearSearch,sorted,55,35
linearSearch,sortedInReverse,55,55
linearSearch,randomOrder,55,55
binarySearch,sorted,55,3
bubbleSort,sorted,55,54
bubbleSort,sortedInReverse,55,1485
bubbleSort,randomOrder,55,1475
insertSort,sorted,55,54
insertSort,sortedInReverse,55,1539
insertSort,randomOrder,55,755
